League,Game_ID,Game_Date,Fixture_Time_Sydney,Home_Team,Away_Team,Team,Player,Player_Key,Market,Projected_Minutes,Projected_Stat,Projection_P10,Projection_P90,Dispersion,History_Games,Role_Persistence,Role_Games,Role_Minutes_Median,Role_Minutes_MAD,Role_Continuity,Recent_Participation_Status,Games_Played_Last_4,Played_Last_Game,Days_Since_Appearance,Minutes_Trend_Ratio,Returning_Teammate_Risk,Role_Confidence_Status,Player_Training_Through,Status,Lineup_Source,Injury_Scenario,Model_Version,Generated_At_UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Lat Mayen,lat mayen,assists,11.670521259562339,0.5417267790248859,-0,2,1.2822966507177036,96,0.5138757769757416,10,5.758333333333329,2.966666666666664,0.2,limited_recent_participation,2,TRUE,3,2.2049763033175322,FALSE,rotation_sensitive,2026-09-23,scenario_sensitive,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Lat Mayen,lat mayen,threes,11.670521259562339,0.45698176995547507,-0,1,1.3679633867276888,96,0.5138757769757416,10,5.758333333333329,2.966666666666664,0.2,limited_recent_participation,2,TRUE,3,2.2049763033175322,FALSE,rotation_sensitive,2026-09-23,scenario_sensitive,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Billy McRae,billy mcrae,points,8.539405799679784,3.9216266380097204,1,7,1.5,0,0,0,,,0,limited_recent_participation,0,FALSE,Inf,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Billy McRae,billy mcrae,rebounds,8.539405799679784,1.5483743986179674,-0,4,1.5,0,0,0,,,0,limited_recent_participation,0,FALSE,Inf,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Billy McRae,billy mcrae,assists,8.539405799679784,0.7989197069548604,-0,2,1.5,0,0,0,,,0,limited_recent_participation,0,FALSE,Inf,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Billy McRae,billy mcrae,threes,8.539405799679784,0.420295498419255,-0,1,1.5,0,0,0,,,0,limited_recent_participation,0,FALSE,Inf,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Harry Rouhliadeff,harry rouhliadeff,points,12.097491549546326,5.353398247818394,2,9,1.5,1,0.3269594300266597,1,11.3333333333333,,0.1,limited_recent_participation,1,TRUE,3,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Harry Rouhliadeff,harry rouhliadeff,rebounds,12.097491549546326,2.2302513727878157,0,5,1.5,1,0.3269594300266597,1,11.3333333333333,,0.1,limited_recent_participation,1,TRUE,3,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Harry Rouhliadeff,harry rouhliadeff,assists,12.097491549546326,1.129459422929425,-0,3,1.5,1,0.3269594300266597,1,11.3333333333333,,0.1,limited_recent_participation,1,TRUE,3,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Harry Rouhliadeff,harry rouhliadeff,threes,12.097491549546326,0.5737438549085104,-0,2,1.5,1,0.3269594300266597,1,11.3333333333333,,0.1,limited_recent_participation,1,TRUE,3,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
